"Time","data_time"
807.744,738269
807.75,738269
807.756,738269
807.762,738269
807.768,738269
807.774,738269
807.78,738269
807.786,738269
807.792,738269
807.798,738269
807.804,738269
807.81,738269
807.816,738269
807.822,738269
807.828,738269
807.834,738269
807.84,738269
807.846,738269
807.852,738269
807.858,738269
807.864,738269
807.87,738269
807.876,738269
807.882,738269
807.888,738269
807.894,738269
807.9,738269
807.906,738269
807.912,738269
807.918,738269
807.924,738269
807.93,738269
807.936,738269
807.942,738269
807.948,738269
807.954,738269
807.96,738269
807.966,738269
807.972,738269
807.978,738269
807.984,738269
807.99,738269
807.996,738269
808.002,738269
808.008,738269
808.014,738269
808.02,738269
808.026,738269
808.032,738269
808.038,738269
808.044,738269
808.05,738269
808.056,738269
808.062,738269
808.068,738269
808.074,738269
808.08,738269
808.086,738269
808.092,738269
808.098,738269
808.104,738269
808.11,738269
808.116,738269
808.122,738269
808.128,738269
808.134,738269
808.14,738269
808.146,738269
808.152,738269
808.158,738269
808.164,738269
808.17,738269
808.176,738269
808.182,738269
808.188,738269
808.194,738269
808.2,738269
808.206,738269
808.212,738269
808.218,738269
808.224,738269
808.23,738269
808.236,738269
808.242,738269
808.248,738269
808.254,738269
808.26,738269
808.266,738269
808.272,738269
808.278,738269
808.284,738269
808.29,738269
808.296,738269
808.302,738269
808.308,738269
808.314,738269
808.32,738269
808.326,738269
808.332,738269
808.338,738269
808.344,738269
808.35,738269
808.356,738269
808.362,738269
808.368,738269
808.374,738269
808.38,738269
808.386,738269
808.392,738269
808.398,738269
808.404,738269
808.41,738269
808.416,738269
808.422,738269
808.428,738269
808.434,738269
808.44,738269
808.446,738269
808.452,738269
808.458,738269
808.464,738269
808.47,738269
808.476,738269
808.482,738269
808.488,738269
808.494,738269
808.5,738269
808.506,738269
808.512,738269
808.518,738269
808.524,738269
808.53,738269
808.536,738269
808.542,738269
808.548,738269
808.554,738269
808.56,738269
808.566,738269
808.572,738269
808.578,738269
808.584,738269
808.59,738269
808.596,738269
808.602,738269
808.608,738269
808.614,738269
808.62,738269
808.626,738269
808.632,738269
808.638,738269
808.644,738269
808.65,738269
808.656,738269
808.662,738269
808.668,738269
808.674,738269
808.68,738269
808.686,738269
808.692,738269
808.698,738269
808.704,738269
808.71,738269
808.716,738269
808.722,738269
808.728,738269
808.734,738269
808.74,738269
808.746,738269
808.752,738269
808.758,738269
808.764,738269
808.77,738269
808.776,738269
808.782,738269
808.788,738269
808.794,738269
808.8,738269
808.806,738269
808.812,738269
808.818,738269
808.824,738269
808.83,738269
808.836,738269
808.842,738269
808.848,738269
808.854,738269
808.86,738269
808.866,738269
808.872,738269
808.878,738269
808.884,738269
808.89,738269
808.896,738269
808.902,738269
808.908,738269
808.914,738269
808.92,738269
808.926,738269
808.932,738269
808.938,738269
808.944,738269
808.95,738269
808.956,738269
808.962,738269
808.968,738269
808.974,738269
808.98,738269
808.986,738269
808.992,738269
808.998,738269
809.004,738269
809.01,738269
809.016,738269
809.022,738269
809.028,738269
809.034,738269
809.04,738269
809.046,738269
809.052,738269
809.058,738269
809.064,738269
809.07,738269
809.076,738269
809.082,738269
809.088,738269
809.094,738269
809.1,738269
809.106,738269
809.112,738269
809.118,738269
809.124,738269
809.13,738269
809.136,738269
809.142,738269
809.148,738269
809.154,738269
809.16,738269
809.166,738269
809.172,738269
809.178,738269
809.184,738269
809.19,738269
809.196,738269
809.202,738269
809.208,738269
809.214,738269
809.22,738269
809.226,738269
809.232,738269
809.238,738269
809.244,738269
809.25,738269
809.256,738269
809.262,738269
809.268,738269
809.274,738269
809.28,738269
809.286,738269
809.292,738269
809.298,738269
809.304,738269
809.31,738269
809.316,738269
809.322,738269
809.328,738269
809.334,738269
809.34,738269
809.346,738269
809.352,738269
809.358,738269
809.364,738269
809.37,738269
809.376,738269
809.382,738269
809.388,738269
809.394,738269
809.4,738269
809.406,738269
809.412,738269
809.418,738269
809.424,738269
809.43,738269
809.436,738269
809.442,738269
809.448,738269
809.454,738269
809.46,738269
809.466,738269
809.472,738269
809.478,738269
809.484,738269
809.49,738269
809.496,738269
809.502,738269
809.508,738269
809.514,738269
809.52,738269
809.526,738269
809.532,738269
809.538,738269
809.544,738269
809.55,738269
809.556,738269
809.562,738269
809.568,738269
809.574,738269
809.58,738269
809.586,738269
809.592,738269
809.598,738269
809.604,738269
809.61,738269
809.616,738269
809.622,738269
809.628,738269
809.634,738269
809.64,738269
809.646,738269
809.652,738269
809.658,738269
809.664,738269
809.67,738269
809.676,738269
809.682,738269
809.688,738269
809.694,738269
809.7,738269
809.706,738269
809.712,738269
809.718,738269
809.724,738269
809.73,738269
809.736,738269
809.742,738269
809.748,738269
809.754,738269
809.76,738269
809.766,738269
809.772,738269
809.778,738269
809.784,738269
809.79,738269
809.796,738269
809.802,738269
809.808,738269
809.814,738269
809.82,738269
809.826,738269
809.832,738269
809.838,738269
809.844,738269
809.85,738269
809.856,738269
809.862,738269
809.868,738269
809.874,738269
809.88,738269
809.886,738269
809.892,738269
809.898,738269
809.904,738269
809.91,738269
809.916,738269
809.922,738269
809.928,738269
809.934,738269
809.94,738269
809.946,738269
809.952,738269
809.958,738269
809.964,738269
809.97,738269
809.976,738269
809.982,738269
809.988,738269
809.994,738269
810,738269
810.006,738269
810.012,738269
810.018,738269
810.024,738269
810.03,738269
810.036,738269
810.042,738269
810.048,738269
810.054,738269
810.06,738269
810.066,738269
810.072,738269
810.078,738269
810.084,738269
810.09,738269
810.096,738269
810.102,738269
810.108,738269
810.114,738269
810.12,738269
810.126,738269
810.132,738269
810.138,738269
810.144,738269
810.15,738269
810.156,738269
810.162,738269
810.168,738269
810.174,738269
810.18,738269
810.186,738269
810.192,738269
810.198,738269
810.204,738269
810.21,738269
810.216,738269
810.222,738269
810.228,738269
810.234,738269
810.24,738269
810.246,738269
810.252,738269
810.258,738269
810.264,738269
810.27,738269
810.276,738269
810.282,738269
810.288,738269
810.294,738269
810.3,738269
810.306,738269
810.312,738269
810.318,738269
810.324,738269
810.33,738269
810.336,738269
810.342,738269
810.348,738269
810.354,738269
810.36,738269
810.366,738269
810.372,738269
810.378,738269
810.384,738269
810.39,738269
810.396,738269
810.402,738269
810.408,738269
810.414,738269
810.42,738269
810.426,738269
810.432,738269
810.438,738269
810.444,738269
810.45,738269
810.456,738269
810.462,738269
810.468,738269
810.474,738269
810.48,738269
810.486,738269
810.492,738269
810.498,738269
810.504,738269
810.51,738269
810.516,738269
810.522,738269
810.528,738269
810.534,738269
810.54,738269
810.546,738269
810.552,738269
810.558,738269
810.564,738269
810.57,738269
810.576,738269
810.582,738269
810.588,738269
810.594,738269
810.6,738269
810.606,738269
810.612,738269
810.618,738269
810.624,738269
810.63,738269
810.636,738269
810.642,738269
810.648,738269
810.654,738269
810.66,738269
810.666,738269
810.672,738269
810.678,738269
810.684,738269
810.69,738269
810.696,738269
810.702,738269
810.708,738269
810.714,738269
810.72,738269
810.726,738269
810.732,738269
